StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,EventName,QID16,QID20,QID19,Location
2024 02 20 09:30:00 06:00,2024 02 20 11:00:00 06:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E0080000000080D4174CFB5BDA01000000000000000010000000DCAE438E28019C4C9B1404110C479B44,,,,,,,,,,St. Theresa's Lego Microgame Visit ,,, ,
2024 04 19 10:00:00 05:00,2024 04 19 10:45:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E0080000000060B485CEE421DA010000000000000000100000003500808F814F244298E48E944290CAAF,,,,,,,,,,"Spring Insider Academy  Rotation 1, SHSS / Conservatory ",,,This group will likely roll in around 10:20  ________________________________ From: Addington  Nathaniel Sent: Tuesday  November 28  2023 10:23:30 AM (UTC 06:00) Central Time (US & Canada) To: Addington  Nathaniel <naddington@umkc.edu>; Falicov  Tamara <tfalicov@umkc.edu>; Crappell  Courtney <courtneycrappell@umkc.edu>; Thurmaier  David P. <thurmaierd@umkc.edu>; Snell  James <SnellJa@umkc.edu>; Hiett  DeeAnna L. <hiettd@umkc.edu>; Robertson  Amy <robertsonam@umkc.edu>; Roberts  Stephanie R. <robertssr@umkc.edu>; Constantino  Joselito A. <constantinoj@umkc.edu>; Lillebo  Troy <lillebot@umkc.edu>; Crespino  Curtis J. <CrespinoCJ@umkc.edu>; Rupp  Laura <ruppl@umkc.edu>; Skluzacek  Laura <skluzacekl@umkc.edu>; Samaripa  Amy <loughmana@umkc.edu>; Hayes  Christopher <christopherhayes@umkc.edu>; Mcwilliams  Brandon <brmcwilliams@umkc.edu> Cc: Hohenstein Flack  Hannah <hohensteinflackh@umkc.edu>; Burrus  Jennifer Parker <burrusjen@umkc.edu>; Thomas  Elora <elora.thomas@umkc.edu>; Doucet  Shelly <doucets@umkcfoundation.org> Subject: Spring Insider Academy  Rotation 1  SHSS / Conservatory When: Friday  April 19  2024 10:00 AM 10:45 AM. Where: PAC / Fine Arts  All  please share this invitation with others in your respective units who will be participating. I’ll be sharing your list participants in the coming weeks. ,PAC / Fine Arts
2024 04 19 11:30:00 05:00,2024 04 19 12:15:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E0080000000040382EF0EA79DA0100000000000000001000000092753CF0C665054EB01F0362121B3127,,,,,,,,,,"Spring Insider Academy  Rotation 2, Bloch / SSE ",,, ________________________________ From: Addington  Nathaniel Sent: Tuesday  March 19  2024 10:50:57 AM (UTC 06:00) Central Time (US & Canada) To: Addington  Nathaniel <naddington@umkc.edu>; Lillebo  Troy <lillebot@umkc.edu>; Constantino  Joselito A. <constantinoj@umkc.edu>; Samaripa  Amy <loughmana@umkc.edu>; Rupp  Laura <ruppl@umkc.edu>; Skluzacek  Laura <skluzacekl@umkc.edu>; Truman  Kevin Z. <trumank@umkc.edu>; Brian Klaas <klaasb@umkc.edu>; Davis  Christina S. <davischristina@umkc.edu>; Eichenseer  Michael D. <mdezqd@umkc.edu>; Abdulrahim  Mujahid <mujahid.abdulrahim@umkc.edu>; Matlack  Alexandria <matlacka@umkc.edu>; Williams  Benjamin J. <williamsbenj@umkc.edu>; Innovationstudio <innovationstudio@umkc.edu>; Kanoy  Brian <bkanoy@umkc.edu> Cc: Thomas  Elora <elora.thomas@umkc.edu>; Doucet  Shelly <doucets@umkcfoundation.org> Subject: Spring Insider Academy  Rotation 2  Bloch / SSE When: Friday  April 19  2024 11:30 AM 12:15 PM. Where: Bloch Executive / Plaster Center   ,Bloch Executive / Plaster Center
2024 06 17 11:00:00 05:00,2024 06 17 11:30:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E0080000000050C1A37DADC0DA0100000000000000001000000033B7094190586A4B8190DBAB111BABB6,,,,,,,,,,Are you ready for the summer camp?,,,  _____________________________________________ From: Usher  Sailor (UMKC Student) <susher@mail.umkc.edu> Sent: Monday  June 17  2024 9:39 AM To: Ding  Huan <dingh@umkc.edu> Subject: Re: Are you ready for the summer camp?  Tomorrow works for me. I'll be here from 9:00am to 5:00pm. ________________________________ From: Ding  Huan <dingh@umkc.edu<mailto:dingh@umkc.edu>> Sent: Monday  June 17  2024 9:25 AM To: Usher  Sailor (UMKC Student) <susher@mail.umkc.edu<mailto:susher@mail.umkc.edu>> Subject: RE: Are you ready for the summer camp?   How about this afternoon? If not  tomorrow works better for me to meet in person.  Or I can meet online today at 11:00am.    From: Usher  Sailor (UMKC Student) <susher@mail.umkc.edu<mailto:susher@mail.umkc.edu>> Sent: Monday  June 17  2024 8:51 AM To: Ding  Huan <dingh@umkc.edu<mailto:dingh@umkc.edu>> Subject: Re: Are you ready for the summer camp?    Hi Huan     Here is a link<https://nam02.safelinks.protection.outlook.com/?url=https:%2F%2Fdrive.google.com%2Fdrive%2Ffolders%2F1HLD5VS2CU2z6nu5AeI P_Q6f T woNQe%3Fusp%3Dsharing&data=05%7C02%7Csusher%40mail.umkc.edu%7C65b26879c7a340205c7408dc8eee8a1e%7Ce3fefdbef7e9401ba51a355e01b05a89%7C0%7C0%7C638542402380033349%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C0%7C%7C%7C&sdata=WNNJ3djUrQ0IZ5VWSkoSN4DNnXkPeFSBEy3nE8JeV7E%3D&reserved=0> to my Google Drive folder with everything for the camp.    11:00am today works for me  I will be in the VR Lab if you want to meet in person.  Best regards   J. Sailor Usher  ________________________________  From: Ding  Huan <dingh@umkc.edu<mailto:dingh@umkc.edu>> Sent: Friday  June 14  2024 2:24 PM To: Usher  Sailor (UMKC Student) <susher@mail.umkc.edu<mailto:susher@mail.umkc.edu>> Subject: Are you ready for the summer camp?    Hi Sailor   Congratulations! Are you ready for the summer camp?  Do you want to catch up in the morning on Monday? I will be available at 11:00am on Monday.  Let me know if you want to go over everything again on Monday in person or online.  Best   Huan ,VR lab
2024 06 19,2024 06 29,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E00800000000E0BE59E61BA6DA01000000000000000010000000DEA6D61C90F47245A35CD3DB634058CD,,,,,,,,,,Hongkong High School Program DATE HOLD,,,Hi Sailor  I am holding your calendar for Hongkong Summer program. This doesn’t mean you need to be here the entire time. Our program partner  who is copied in this email  will send you detail outlook invitation with zoom link/location for your sessions. Thank you. Best  Huan ,Online and In person
2024 06 19 07:30:00 05:00,2024 06 19 08:30:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,17214B5D 99D2 44FE BDB3 44DCBF6A1C7A,,,,,,,,,,Introduction of VR and AR,,,WARNING: This message has originated from an External Source. This may be a phishing expedition that can result in unauthorized access to our IT System. Please use proper judgment and caution when opening attachments  clicking links  or responding to this email. Dear Mr. Sailor   This is Tian  the international program manager of this Hong Kong High School Program.  We are so glad to have you again and as the high school program VR session Instructor to give our Hong Kong High school students your first 1 hour session of Introduction of VR and AR.  Students loved you very much for our last year program and they all learned a lot from you. We believe students could make a big achievement this year by exploring the VR&AR world with you together!  Looking forward to seeing you soon!   Topic: Introduction of VR and AR  Time: Wednesday  June 19  2024 7:30am 8:30am KC Time              Wednesday  June 19  2024 8:30pm 9:30pm HK Time Meeting ID: 411 123 2454 Passcode: 24UMKCSP Zoom Link: https://us06web.zoom.us/j/4111232454?pwd=Qq3mM1yEoi21riT5x48gMpbicbAFYd.1  Best  Tian   ,Zoom
2024 06 20 08:30:00 05:00,2024 06 20 09:00:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,3242E9DF 963E 4E85 8718 D3FCBA67EAC8,,,,,,,,,,VR Tools and pre study,,,WARNING: This message has originated from an External Source. This may be a phishing expedition that can result in unauthorized access to our IT System. Please use proper judgment and caution when opening attachments  clicking links  or responding to this email. Dear Mr. Sailor   This session is your second online session to give the 30mins speech of VR Tools and pre study to our Hong Kong High School students.   Topic: VR Tools and pre study  Time: Thursday  June 20  2024 8:30am 9:00am KC Time              Thursday  June 20  2024 9:30pm 10:00pm HK Time Meeting ID: 411 123 2454 Passcode: 24UMKCSP Zoom Link: https://us06web.zoom.us/j/4111232454?pwd=Qq3mM1yEoi21riT5x48gMpbicbAFYd.1  Best  Tian  ,Zoom
2024 06 24 08:50:00 05:00,2024 06 24 09:50:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,040000008200E00074C5B7101A82E0080000000090D845AB5EC5DA01000000000000000010000000D1C23265FB5948408283ABCF26F06F70,,,,,,,,,,Welcome HK Students,,,Hi Christina  Hope your day is going well! I will pick up the vice principal from the hotel near airport at 8:30am in the morning. Would you mind opening the classroom at P204 around 8:50am? And welcome the group at 9:10am? Can the group have two cards to open the room P204 for the entire next week so that they can get in and out by themselves? Thank you so much!!!! See you on Monday. Best  Huan  ,P204
2024 06 24 14:00:00 05:00,2024 06 24 15:00:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,AF2D58BD F013 4827 A9C6 46990408FECE,,,,,,,,,,Explore the games and devices at AVR Lab,,,WARNING: This message has originated from an External Source. This may be a phishing expedition that can result in unauthorized access to our IT System. Please use proper judgment and caution when opening attachments  clicking links  or responding to this email. Dear Mr. Sailor    Here is the class information of today’s session of 2024 HK High School Summer Program    Time: Monday  June 24  2024 2:00pm   3:00pm  Location: AVR Lab  Topic: Meta world: Explore the games and devices at AVR Lab    *   Students will walk around the lab and be introduced to all the devices   *   Students will be in different groups to play VR games (4 Oculus Quests and 1 Apple Vision Pro are required )  Best  Tian ,AVR Lab
2024 06 24 15:30:00 05:00,2024 06 24 16:30:00 05:00,,,100,,True,2024 12 11 15:50:33+00:00,E2CD5EEA 3C46 44C2 9327 24B3CECFDC4B,,,,,,,,,,VR Unity Project “Build the research lab” ,,,WARNING: This message has originated from an External Source. This may be a phishing expedition that can result in unauthorized access to our IT System. Please use proper judgment and caution when opening attachments  clicking links  or responding to this email. Dear Mr. Sailor   Here is the class information of today’s session of 2024 HK High School Summer Program  Time: Monday  June 24  2024 3:30pm   4:30pm Location: P204  Topic: VR Unity Project “Build the research lab”    *   Test the students’ homework  check what they have learned   *   Scan the environment with your phone or Apple Vision pro   *   Test the environment  Best  Tian  ,P204
